nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;916;Oktober
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;1102;November
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;1688;Desember
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2021;Tahun;8550;<strong>TOTAL</strong>
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;30572;Januari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;2798;Februari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;48811;Maret
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;55433;April
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;47774;Mei
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;63474;Juni
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;8875;Juli
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;5231;Agustus
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;12729;September
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;51524;Oktober
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;67096;November
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;84838;Desember
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2021;Tahun;479155;<strong>TOTAL</strong>
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;164664;Januari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;147286;Februari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;106434;Maret
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;10233;April
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;7995;Mei
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;12056;Juni
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;21481;Juli
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;34011;Agustus
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;32024;September
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;40344;Oktober
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;49754;November
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;51122;Desember
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2020;Tahun;677404;<strong>TOTAL</strong>
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;32736;Januari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;25342;Februari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;17954;Maret
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;844;April
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;0;Mei
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;0;Juni
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;317;Juli
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;2104;Agustus
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;595;September
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;1296;Oktober
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;2863;November
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;4571;Desember
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2020;Tahun;88622;<strong>TOTAL</strong>
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;2256;Januari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;1991;Februari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;1427;Maret
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;2;April
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;0;Mei
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;0;Juni
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;0;Juli
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;225;Agustus
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;44;September
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;304;Oktober
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;514;November
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;850;Desember
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2020;Tahun;7613;<strong>TOTAL</strong>
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;129672;Januari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;119953;Februari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;87053;Maret
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;9387;April
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;7995;Mei
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;12056;Juni
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;21164;Juli
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;31682;Agustus
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;31385;September
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;38744;Oktober
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;46377;November
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;45701;Desember
